,종목코드,종목명
0,005930,삼성전자
1,000660,SK하이닉스
2,005935,삼성전자우
3,005380,현대차
4,005490,POSCO
5,035420,NAVER
6,051910,LG화학
7,068270,셀트리온
8,105560,KB금융
9,207940,삼성바이오로직스
10,012330,현대모비스
11,032830,삼성생명
12,015760,한국전력
13,028260,삼성물산
14,055550,신한지주
15,017670,SK텔레콤
16,034730,SK
17,096770,SK이노베이션
18,051900,LG생활건강
19,090430,아모레퍼시픽
20,066570,LG전자
21,251270,넷마블게임즈
22,033780,KT&G
23,003550,LG
24,018260,삼성에스디에스
25,086790,하나금융지주
26,091990,셀트리온헬스케어
27,006400,삼성SDI
28,000270,기아차
29,010950,S-Oil
30,000810,삼성화재
31,011170,롯데케미칼
32,002790,아모레G
33,000030,우리은행
34,034220,LG디스플레이
35,035720,카카오
36,036570,엔씨소프트
37,010130,고려아연
38,024110,기업은행
39,030200,KT
40,004020,현대제철
41,009150,삼성전기
42,021240,코웨이
43,139480,이마트
44,018880,한온시스템
45,008930,한미사이언스
46,215600,신라젠
47,035250,강원랜드
48,161390,한국타이어
49,267250,현대로보틱스
50,128940,한미약품
51,006800,미래에셋대우
52,032640,LG유플러스
53,009540,현대중공업
54,088350,한화생명
55,078930,GS
56,023530,롯데쇼핑
57,009830,한화케미칼
58,086280,현대글로비스
59,001040,CJ
60,005830,DB손해보험
61,097950,CJ제일제당
62,004800,효성
63,004990,롯데지주
64,047810,한국항공우주
65,029780,삼성카드
66,079440,아이엔지생명
67,009240,한샘
68,271560,오리온
69,001450,현대해상
70,000720,현대건설
71,036460,한국가스공사
72,012750,에스원
73,002380,KCC
74,005940,NH투자증권
75,071050,한국금융지주
76,005387,현대차2우B
77,130960,CJ E&M
78,282330,BGF리테일
79,241560,두산밥캣
80,011070,LG이노텍
81,003490,대한항공
82,008770,호텔신라
83,000120,CJ대한통운
84,950160,티슈진(Reg.S)
85,016360,삼성증권
86,010060,OCI
87,000880,한화
88,011780,금호석유
89,007070,GS리테일
90,138930,BNK금융지주
91,012630,현대산업
92,263750,펄어비스
93,010140,삼성중공업
94,028670,팬오션
95,204320,만도
96,026960,동서
97,088980,맥쿼리인프라
98,004170,신세계
99,000210,대림산업
100,086900,메디톡스
101,016170,로엔
102,007310,오뚜기
103,008560,메리츠종금증권
104,084990,바이로메드
105,006280,녹십자
106,000060,메리츠화재
107,028050,삼성엔지니어링
108,000100,유한양행
109,047040,대우건설
110,069960,현대백화점
111,003670,포스코켐텍
112,145020,휴젤
113,006260,LS
114,030000,제일기획
115,047050,포스코대우
116,005385,현대차우
117,120110,코오롱인더
118,138040,메리츠금융지주
119,004370,농심
120,000150,두산
121,041960,코미팜
122,068760,셀트리온제약
123,034230,파라다이스
124,006360,GS건설
125,000670,영풍
126,010120,LS산전
127,069620,대웅제약
128,039490,키움증권
129,012450,한화테크윈
130,051915,LG화학우
131,042670,두산인프라코어
132,006120,SK케미칼
133,003410,쌍용양회
134,036490,SK머티리얼즈
135,005250,녹십자홀딩스
136,253450,스튜디오드래곤
137,051600,한전KPS
138,114090,GKL
139,161890,한국콜마
140,020150,일진머티리얼즈
141,139130,DGB금융지주
142,090435,아모레퍼시픽우
143,000240,한국타이어월드와이드
144,267270,현대건설기계
145,078340,컴투스
146,006650,대한유화
147,011790,SKC
148,011210,현대위아
149,010620,현대미포조선
150,004000,롯데정밀화학
151,000080,하이트진로
152,001800,오리온홀딩스
153,001740,SK네트웍스
154,034020,두산중공업
155,003520,영진약품
156,071840,롯데하이마트
157,192400,쿠쿠전자
158,042660,대우조선해양
159,064350,현대로템
160,079160,CJ CGV
161,046890,서울반도체
162,011200,현대상선
163,028300,에이치엘비
164,095700,제넥신
165,003240,태광산업
166,085660,차바이오텍
167,115390,락앤락
168,214320,이노션
169,005440,현대그린푸드
170,051905,LG생활건강우
171,057050,현대홈쇼핑
172,028150,GS홈쇼핑
173,035760,CJ오쇼핑
174,103140,풍산
175,111770,영원무역
176,017800,현대엘리베이
177,178920,SKC코오롱PI
178,056190,에스에프에이
179,069080,웹젠
180,181710,NHN엔터테인먼트
181,240810,원익IPS
182,005610,SPC삼립
183,079550,LIG넥스원
184,185750,종근당
185,009420,한올바이오파마
186,003690,코리안리
187,039030,이오테크닉스
188,022100,포스코 ICT
189,007390,네이처셀
190,192820,코스맥스
191,082640,동양생명
192,039130,하나투어
193,014820,동원시스템즈
194,003380,제일홀딩스
195,267260,현대일렉트릭
196,002350,넥센타이어
197,003090,대웅
198,036830,솔브레인
199,151910,나노스
200,180640,한진칼
201,006040,동원산업
202,098460,고영
203,200230,텔콘
204,003300,한일시멘트
205,226320,잇츠한불
206,010780,아이에스동서
207,001120,LG상사
208,005300,롯데칠성
209,105630,한세실업
210,108230,톱텍
211,005290,동진쎄미켐
212,003000,부광약품
213,066970,엘앤에프
214,001230,동국제강
215,001430,세아베스틸
216,000070,삼양홀딩스
217,081660,휠라코리아
218,069260,휴켐스
219,001680,대상
220,006840,AK홀딩스
221,089590,제주항공
222,200130,콜마비앤에이치
223,012510,더존비즈온
224,145990,삼양사
225,001440,대한전선
226,078160,메디포스트
227,020560,아시아나항공
228,175330,JB금융지주
229,214370,케어젠
230,093370,후성
231,051370,인터플렉스
232,000370,한화손해보험
233,093050,LF
234,008000,도레이케미칼
235,192080,더블유게임즈
236,052690,한전기술
237,049770,동원F&B
238,064760,티씨케이
239,115450,지트리비앤티
240,096530,씨젠
241,112040,위메이드
242,023590,다우기술
243,086520,에코프로
244,001060,JW중외제약
245,108670,LG하우시스
246,058470,리노공업
247,005850,에스엘
248,170900,동아에스티
249,048260,오스템임플란트
250,009410,태영건설
251,071320,지역난방공사
252,018670,SK가스
253,066575,LG전자우
254,108320,실리콘웍스
255,272450,진에어
256,102940,코오롱생명과학
257,058820,CMG제약
258,090460,비에이치
259,014680,한솔케미칼
260,034830,한국토지신탁
261,003230,삼양식품
262,020000,한섬
263,000640,동아쏘시오홀딩스
264,003470,유안타증권
265,009970,영원무역홀딩스
266,041510,에스엠
267,085620,미래에셋생명
268,002020,코오롱
269,007570,일양약품
270,095610,테스
271,241590,화승엔터프라이즈
272,065620,제낙스
273,145720,덴티움
274,042700,한미반도체
275,003540,대신증권
276,272290,이녹스첨단소재
277,003620,쌍용차
278,049950,미래컴퍼니
279,025540,한국단자
280,007460,나라케이아이씨
281,073240,금호타이어
282,024720,한국콜마홀딩스
283,019680,대교
284,064960,S&T모티브
285,271980,제일약품
286,017810,풀무원
287,123890,한국자산신탁
288,048530,인트론바이오
289,060980,한라홀딩스
290,036420,제이콘텐트리
291,036930,주성엔지니어링
292,079430,현대리바트
293,009450,경동나비엔
294,007700,F&F
295,089600,나스미디어
296,083790,크리스탈
297,005180,빙그레
298,002270,롯데푸드
299,053210,스카이라이프
300,029530,신도리코
301,004430,송원산업
302,280360,롯데제과
303,237880,클리오
304,192530,광주은행
305,038540,텍셀네트컴
306,080160,모두투어
307,063080,게임빌
308,121800,비덴트
309,058650,세아홀딩스
310,214450,파마리서치프로덕트
311,237690,에스티팜
312,030530,원익홀딩스
313,002240,고려제강
314,006730,서부T&D
315,213420,덕산네오룩스
316,003030,세아제강
317,144510,녹십자랩셀
318,031390,녹십자셀
319,005880,대한해운
320,084110,휴온스글로벌
321,006060,화승인더
322,210980,SK디앤디
323,086450,동국제약
324,033920,무학
325,243070,휴온스
326,000815,삼성화재우
327,161000,애경유화
328,037560,CJ헬로
329,001720,신영증권
330,041830,인바디
331,034310,NICE
332,138250,엔에스쇼핑
333,025860,남해화학
334,091700,파트론
335,072710,농심홀딩스
336,039840,디오
337,053800,안랩
338,267980,매일유업
339,030190,NICE평가정보
340,031430,신세계인터내셔날
341,000990,DB하이텍
342,004130,대덕GDS
343,032350,롯데관광개발
344,096760,JW홀딩스
345,039200,오스코텍
346,122870,와이지엔터테인먼트
347,008730,율촌화학
348,035600,KG이니시스
349,070960,용평리조트
350,033270,유나이티드제약
351,031440,신세계푸드
352,031980,피에스케이
353,003920,남양유업
354,064240,홈캐스트
355,087010,펩트론
356,004490,세방전지
357,027410,BGF
358,043150,바텍
359,005500,삼진제약
360,002960,한국쉘석유
361,025980,에머슨퍼시픽
362,034120,SBS
363,008060,대덕전자
364,265520,AP시스템
365,033290,코웰패션
366,168330,내츄럴엔도텍
367,052710,아모텍
368,041140,넥슨지티
369,082270,젬백스
370,112610,씨에스윈드
371,033240,자화전자
372,174900,앱클론
373,017390,서울가스
374,222040,뉴트리바이오텍
375,004690,삼천리
376,003530,한화투자증권
377,084370,유진테크
378,025770,한국정보통신
379,001520,동양
380,035900,JYP Ent.
381,009290,광동제약
382,092040,아미코젠
383,067080,대화제약
384,051500,CJ프레시웨이
385,065660,안트로젠
386,013120,동원개발
387,025900,동화기업
388,004380,삼익THK
389,206640,바디텍메드
390,023890,아트라스BX
391,001820,삼화콘덴서
392,249420,일동제약
393,005420,코스모화학
394,101530,해태제과식품
395,068240,다원시스
396,232140,와이아이케이
397,078020,이베스트투자증권
398,080420,모다이노칩
399,126560,현대에이치씨엔
400,002390,한독
401,074600,원익QnC
402,003800,에이스침대
403,025620,제이준코스메틱
404,101060,SBS미디어홀딩스
405,019210,와이지-원
406,036580,팜스코
407,011810,STX
408,016450,한세예스24홀딩스
409,032500,케이엠더블유
410,104830,원익머트리얼즈
411,241770,메카로
412,010170,대한광통신
413,003850,보령제약
414,141080,레고켐바이오
415,019170,신풍제약
416,260930,씨티케이코스메틱스
417,005810,풍산홀딩스
418,016580,환인제약
419,100120,뷰웍스
420,00088K,한화3우B
421,119610,인터로조
422,030520,한글과컴퓨터
423,014830,유니드
424,281820,케이씨텍
425,000250,삼천당제약
426,005720,넥센
427,033660,아주캐피탈
428,191420,테고사이언스
429,183490,엔지켐생명과학
430,032190,다우데이타
431,010955,S-Oil우
432,015350,부산가스
433,044490,태웅
434,001725,신영증권우
435,003220,대원제약
436,002795,아모레G우
437,200670,휴메딕스
438,199800,툴젠
439,017940,E1
440,015750,성우하이텍
441,000400,롯데손해보험
442,007690,국도화학
443,016800,퍼시스
444,115960,연우
445,000050,경방
446,036630,세종텔레콤
447,049960,쎌바이오텍
448,001510,SK증권
449,008490,서흥
450,136490,선진
451,183190,아세아시멘트
452,092730,네오팜
453,255440,야스
454,038290,마크로젠
455,004710,한솔테크닉스
456,089030,테크윙
457,037710,광주신세계
458,035810,이지바이오
459,041190,우리기술투자
460,084690,대상홀딩스
461,023410,유진기업
462,065160,에프티이앤이
463,003560,IHQ
464,053030,바이넥스
465,039440,에스티아이
466,079980,휴비스
467,003060,에이프로젠제약
468,097230,한진중공업
469,066700,테라젠이텍스
470,001630,종근당홀딩스
471,102460,이연제약
472,203690,프로스테믹스
473,102710,이엔에프테크놀로지
474,067290,JW신약
475,054950,제이브이엠
476,007820,에스엠코어
477,218410,RFHIC
478,140410,메지온
479,251630,브이원텍
480,003120,일성신약
481,005690,파미셀
482,016100,리더스코스메틱
483,094800,맵스리얼티1
484,241710,코스메카코리아
485,166090,하나머티리얼즈
486,016250,이테크건설
487,099190,아이센스
488,000480,조선내화
489,007160,사조산업
490,104700,한국철강
491,234080,JW생명과학
492,002990,금호산업
493,000540,흥국화재
494,002000,한국유리
495,038500,삼표시멘트
496,086980,쇼박스
497,063570,한국전자금융
498,025000,KPX케미칼
499,001200,유진투자증권
500,007720,대명코퍼레이션
501,002250,알보젠코리아
502,100130,동국S&C
503,214420,토니모리
504,011930,신성이엔지
505,001390,KG케미칼
506,152330,코리아오토글라스
507,122990,와이솔
508,213500,한솔제지
509,036540,SFA반도체
510,024660,하림홀딩스
511,025320,시노펙스
512,060250,NHN한국사이버결제
513,029460,케이씨
514,095570,AJ네트웍스
515,023160,태광
516,030610,교보증권
517,042520,한스바이오메드
518,122900,아이마켓코리아
519,217480,에스디생명공학
520,000155,두산우
521,215360,우리산업
522,052260,SK바이오랜드
523,044820,코스맥스비티아이
524,214390,경보제약
525,007340,디티알오토모티브
526,228850,레이언스
527,001500,현대차투자증권
528,108790,인터파크
529,007810,코리아써키트
530,057500,SKC 솔믹스
531,123100,테라세미콘
532,018000,유니슨
533,002320,한진
534,060720,KH바텍
535,214180,민앤지
536,013030,하이록코리아
537,225570,넷게임즈
538,009680,모토닉
539,040350,큐로컴
540,006380,카프로
541,002810,삼영무역
542,268280,미원에스씨
543,011040,경동제약
544,138490,코오롱플라스틱
545,078520,에이블씨엔씨
546,155650,와이엠씨
547,196170,알테오젠
548,060280,큐렉소
549,078150,HB테크놀러지
550,272550,삼양패키징
551,014620,성광벤드
552,123690,한국화장품
553,217270,넵튠
554,046210,파나진
555,007210,벽산
556,009580,무림P&P
557,082920,비츠로셀
558,067390,아스트
559,192440,슈피겐코리아
560,215000,골프존
561,001130,대한제분
562,027050,코리아나
563,095660,네오위즈
564,136480,하림
565,114570,지스마트글로벌
566,195870,해성디에스
567,001940,KISCO홀딩스
568,000020,동화약품
569,002780,진흥기업
570,005070,코스모신소재
571,092230,KPX홀딩스
572,085370,루트로닉
573,086390,유니테스트
574,048550,SM C&C
575,004700,조광피혁
576,082740,두산엔진
577,200880,서연이화
578,077500,유니퀘스트
579,018120,진로발효
580,160550,NEW
581,060570,아이리버
582,004970,신라교역
583,003200,일신방직
584,095340,ISC
585,011760,현대상사
586,052330,코텍
587,029960,코엔텍
588,001270,부국증권
589,005680,삼영전자
590,123420,선데이토즈
591,090470,제이스텍
592,064260,다날
593,091120,이엠텍
594,006390,현대시멘트
595,011690,유양디앤유
596,036890,진성티이씨
597,078600,대주전자재료
598,004870,티웨이홀딩스
599,001780,알루코
600,033160,엠케이전자
601,015860,일진홀딩스
602,141000,비아트론
603,102260,동성코퍼레이션
604,194510,파티게임즈
605,036190,금화피에스시
606,060150,인선이엔티
607,201490,미투온
608,002030,아세아
609,045100,한양이엔지
610,095720,웅진씽크빅
611,143240,사람인에이치알
612,095270,웨이브일렉트로
613,004360,세방
614,086890,이수앱지스
615,003070,코오롱글로벌
616,036530,S&T홀딩스
617,140670,알에스오토메이션
618,004960,한신공영
619,000490,대동공업
620,023910,대한약품
621,034950,한국기업평가
622,065060,지엔코
623,046440,KG모빌리언스
624,003545,대신증권우
625,016380,동부제철
626,003570,S&T중공업
627,900100,뉴프라이드
628,182400,에이티젠
629,214150,클래시스
630,017960,한국카본
631,039570,아이콘트롤스
632,222800,심텍
633,043610,지니뮤직
634,036030,KTH
635,011370,서한
636,010050,우리종금
637,000860,강남제비스코
638,180400,엠지메드
639,054050,농우바이오
640,027390,한화갤러리아타임월드
641,115180,큐리언트
642,084010,대한제강
643,001250,GS글로벌
644,081000,일진다이아
645,012610,경인양행
646,206560,덱스터
647,900290,GRT
648,005950,이수화학
649,000430,대원강업
650,000140,하이트진로홀딩스
651,900140,코라오홀딩스
652,036800,나이스정보통신
653,178320,서진시스템
654,000680,LS네트웍스
655,035080,인터파크홀딩스
656,044340,위닉스
657,123860,아나패스
658,060590,씨티씨바이오
659,040910,아이씨디
660,067630,에이치엘비생명과학
661,003350,한국화장품제조
662,001880,삼호
663,015360,예스코
664,166480,코아스템
665,121440,골프존뉴딘
666,068400,AJ렌터카
667,005740,크라운해태홀딩스
668,137940,넥스트아이
669,233990,하우동천
670,185490,아이진
671,183300,코미코
672,229500,노브메타파마
673,122640,예스티
674,043370,평화정공
675,067160,아프리카TV
676,115160,휴맥스
677,144960,뉴파워프라즈마
678,030210,KTB투자증권
679,171120,라이온켐텍
680,089470,현대EP
681,210540,디와이파워
682,000320,노루홀딩스
683,035890,서희건설
684,005960,동부건설
685,220630,해마로푸드서비스
686,071200,인피니트헬스케어
687,001790,대한제당
688,103130,웅진에너지
689,215790,이노인스트루먼트
690,005990,매일홀딩스
691,047310,파워로직스
692,020760,일진디스플
693,246720,아스타
694,005160,동국산업
695,217730,강스템바이오텍
696,002450,삼익악기
697,091090,세원셀론텍
698,005389,현대차3우B
699,004150,한솔홀딩스
700,073070,넥센테크
701,036000,예림당
702,005090,삼광글라스
703,109740,디에스케이
704,225530,보광산업
705,006490,인스코비
706,044450,KSS해운
707,071055,한국금융지주우
708,089980,상아프론테크
709,043580,에임하이
710,069110,코스온
711,052420,오성엘에스티
712,000970,한국주철관
713,033640,네패스
714,094480,갤럭시아컴즈
715,140860,파크시스템스
716,038060,루멘스
717,036120,SCI평가정보
718,077970,STX엔진
719,097955,CJ제일제당 우
720,083310,엘오티베큠
721,161580,필옵틱스
722,041590,젬백스테크놀러지
723,008040,사조동아원
724,052790,액토즈소프트
725,067830,세이브존I&C
726,143210,핸즈코퍼레이션
727,019550,SBI인베스트먼트
728,054670,대한뉴팜
729,064550,바이오니아
730,046140,SBS콘텐츠허브
731,053610,프로텍
732,036200,유니셈
733,168490,한국패러랠
734,060240,룽투코리아
735,067280,멀티캠퍼스
736,004250,NPC
737,031330,에스에이엠티
738,000390,삼화페인트
739,074430,아미노로직스
740,052400,코나아이
741,187420,제노포커스
742,049180,셀루메드
743,013990,아가방컴퍼니
744,950110,SBI핀테크솔루션즈
745,229640,LS전선아시아
746,001460,BYC
747,014200,광림
748,126700,하이비젼시스템
749,037950,엘컴텍
750,138690,엘아이에스
751,005430,한국공항
752,131290,티에스이
753,002460,화성산업
754,077360,덕산하이메탈
755,002630,오리엔트바이오
756,064800,필링크
757,012690,모나리자
758,049070,인탑스
759,097520,엠씨넥스
760,078890,가온미디어
761,004060,SG세계물산
762,060300,레드로버
763,121600,나노신소재
764,000180,성창기업지주
765,192410,감마누
766,053300,한국정보인증
767,092200,디아이씨
768,086960,한컴MDS
769,001360,삼성제약
770,007630,암니스
771,011160,두산건설
772,104480,티케이케미칼
773,001380,SG충방
774,004560,현대비앤지스틸
775,021320,KCC건설
776,079370,제우스
777,097780,에스맥
778,119860,다나와
779,023900,풍국주정
780,054780,키이스트
781,216050,인크로스
782,018310,삼목에스폼
783,033320,제이씨현시스템
784,011280,태림포장
785,003460,유화증권
786,225190,삼양옵틱스
787,002840,미원상사
788,239610,에이치엘사이언스
789,160980,싸이맥스
790,900260,로스웰
791,096775,SK이노베이션우
792,264900,크라운제과
793,007660,이수페타시스
794,142760,바이오리더스
795,025440,대성엘텍
796,109960,에이프로젠 H&G
797,900300,오가닉티코스메틱
798,039560,다산네트웍스
799,048410,현대아이비티
800,900270,헝셩그룹
